0,4,19,15,7,14,4,20,7,4,2,4,9,5,15,10,13,16,15,8,16,3,15,1,1,2,18,4,14,20,13,12,11,11,19,9,18,17,3,1,18,13,13,15,20,3,14,1,18,4
4,0,13,13,13,7,5,3,16,12,9,5,16,7,18,8,18,1,2,10,7,19,3,9,10,4,10,3,9,12,17,10,13,8,1,15,4,13,16,19,2,19,8,4,19,17,12,1,15,8
19,13,0,5,11,18,11,8,2,7,4,15,18,1,8,9,3,10,15,19,10,1,10,6,2,3,4,4,20,8,14,4,14,8,18,17,12,16,1,2,14,3,12,5,7,16,4,19,15,1
15,13,5,0,16,14,1,14,10,13,15,11,17,4,8,7,19,3,17,16,8,1,19,6,15,17,8,13,5,13,3,4,4,4,6,12,18,2,14,5,18,16,6,1,8,5,5,6,14,7
7,13,11,16,0,5,20,10,3,4,12,19,6,15,6,4,12,19,14,5,7,17,2,10,15,10,17,13,4,17,20,6,3,19,1,18,16,4,4,14,20,14,18,6,17,5,13,17,7,2
14,7,18,14,5,0,1,12,2,1,14,9,17,16,11,3,20,3,19,13,10,10,20,20,9,17,16,6,14,2,17,14,14,7,1,15,2,8,19,13,17,6,11,9,5,12,7,20,11,14
4,5,11,1,20,1,0,8,6,2,15,12,14,3,14,4,14,13,15,18,17,1,1,13,5,9,11,4,5,9,17,16,9,19,19,2,2,17,20,13,16,17,10,2,10,18,3,3,9,11
20,3,8,14,10,12,8,0,12,4,14,8,4,7,11,10,8,18,9,19,15,15,3,12,18,4,16,1,15,3,1,9,19,16,8,4,17,16,18,2,17,13,13,17,5,19,5,15,18,3
7,16,2,10,3,2,6,12,0,6,16,19,4,15,17,18,1,12,2,8,10,11,9,18,13,1,7,10,17,16,6,17,12,11,19,10,6,10,6,11,7,19,7,12,19,20,11,19,19,6
4,12,7,13,4,1,2,4,6,0,13,10,6,12,3,9,8,1,9,11,13,11,9,18,14,7,2,10,4,9,8,16,17,5,19,15,11,13,14,4,17,10,3,13,10,14,19,6,16,19
2,9,4,15,12,14,15,14,16,13,0,12,3,4,7,19,17,1,17,20,15,19,2,6,1,3,2,4,18,1,11,15,16,18,12,5,6,20,5,9,18,11,17,17,15,18,14,18,5,9
4,5,15,11,19,9,12,8,19,10,12,0,18,1,6,19,5,9,11,5,9,15,14,11,2,2,20,8,13,17,13,9,17,13,9,18,2,1,4,19,8,11,15,8,4,14,4,19,7,13
9,16,18,17,6,17,14,4,4,6,3,18,0,13,9,19,8,17,10,15,7,16,2,19,12,6,4,11,3,9,4,5,1,15,11,14,20,1,12,15,11,20,19,20,16,20,14,2,11,11
5,7,1,4,15,16,3,7,15,12,4,1,13,0,4,3,14,3,3,17,9,4,19,15,6,7,13,7,16,10,12,3,5,18,4,14,1,12,9,11,14,18,1,5,12,7,6,11,18,10
15,18,8,8,6,11,14,11,17,3,7,6,9,4,0,13,5,19,5,16,20,17,10,17,17,5,3,7,17,19,16,16,15,9,8,15,1,8,6,17,7,1,15,11,9,10,19,12,4,20
10,8,9,7,4,3,4,10,18,9,19,19,19,3,13,0,4,15,16,9,7,1,17,6,7,5,15,5,14,15,5,18,8,3,1,1,14,7,8,17,16,17,11,12,6,17,6,13,5,18
13,18,3,19,12,20,14,8,1,8,17,5,8,14,5,4,0,13,8,15,10,20,3,7,15,20,12,16,3,3,15,3,19,2,12,2,11,12,17,16,7,9,13,20,15,10,12,5,19,3
16,1,10,3,19,3,13,18,12,1,1,9,17,3,19,15,13,0,20,3,3,1,19,8,6,6,4,6,10,20,8,20,15,17,9,10,10,17,16,20,14,12,2,13,10,8,18,1,16,4
15,2,15,17,14,19,15,9,2,9,17,11,10,3,5,16,8,20,0,15,12,1,20,8,2,9,14,14,14,2,9,20,18,5,9,9,9,12,16,4,13,5,13,2,15,1,10,13,2,6
8,10,19,16,5,13,18,19,8,11,20,5,15,17,16,9,15,3,15,0,6,20,15,4,8,4,19,20,1,20,8,13,5,18,20,12,20,12,18,18,13,19,7,12,13,8,17,20,12,3
16,7,10,8,7,10,17,15,10,13,15,9,7,9,20,7,10,3,12,6,0,14,16,14,10,15,1,6,1,8,2,18,7,19,10,3,6,1,12,8,14,12,1,19,19,15,4,7,4,3
3,19,1,1,17,10,1,15,11,11,19,15,16,4,17,1,20,1,1,20,14,0,16,8,13,5,8,12,16,13,1,6,15,7,18,14,14,7,19,11,2,16,2,7,7,9,14,20,10,15
15,3,10,19,2,20,1,3,9,9,2,14,2,19,10,17,3,19,20,15,16,16,0,19,13,16,12,12,5,19,4,18,17,9,6,10,5,17,12,5,1,17,2,11,19,5,3,19,11,20
1,9,6,6,10,20,13,12,18,18,6,11,19,15,17,6,7,8,8,4,14,8,19,0,2,16,16,17,5,13,20,2,19,17,7,9,4,12,20,17,6,3,1,1,18,15,4,5,18,9
1,10,2,15,15,9,5,18,13,14,1,2,12,6,17,7,15,6,2,8,10,13,13,2,0,6,19,9,4,12,8,2,15,4,10,8,14,9,8,6,1,6,2,15,15,9,11,8,2,5
2,4,3,17,10,17,9,4,1,7,3,2,6,7,5,5,20,6,9,4,15,5,16,16,6,0,13,19,5,5,9,8,8,1,7,4,14,3,14,17,14,1,8,16,6,19,14,6,2,14
18,10,4,8,17,16,11,16,7,2,2,20,4,13,3,15,12,4,14,19,1,8,12,16,19,13,0,11,10,12,10,2,4,6,17,13,2,6,20,17,18,3,13,2,12,20,1,10,6,11
4,3,4,13,13,6,4,1,10,10,4,8,11,7,7,5,16,6,14,20,6,12,12,17,9,19,11,0,16,10,11,20,12,7,3,6,17,14,1,7,13,4,14,9,16,13,17,16,15,17
14,9,20,5,4,14,5,15,17,4,18,13,3,16,17,14,3,10,14,1,1,16,5,5,4,5,10,16,0,12,3,14,17,5,5,15,2,1,8,17,3,5,12,18,5,14,12,4,15,14
20,12,8,13,17,2,9,3,16,9,1,17,9,10,19,15,3,20,2,20,8,13,19,13,12,5,12,10,12,0,6,12,10,7,14,16,3,7,11,3,3,11,1,1,15,13,19,17,20,8
13,17,14,3,20,17,17,1,6,8,11,13,4,12,16,5,15,8,9,8,2,1,4,20,8,9,10,11,3,6,0,17,17,7,14,13,1,9,8,2,7,15,19,1,20,5,1,12,14,10
12,10,4,4,6,14,16,9,17,16,15,9,5,3,16,18,3,20,20,13,18,6,18,2,2,8,2,20,14,12,17,0,7,1,14,18,20,7,16,1,5,1,9,3,19,6,18,10,5,18
11,13,14,4,3,14,9,19,12,17,16,17,1,5,15,8,19,15,18,5,7,15,17,19,15,8,4,12,17,10,17,7,0,6,6,18,14,20,14,13,11,15,5,14,13,3,4,4,4,17
11,8,8,4,19,7,19,16,11,5,18,13,15,18,9,3,2,17,5,18,19,7,9,17,4,1,6,7,5,7,7,1,6,0,16,6,15,1,20,17,9,15,13,11,1,6,11,12,5,10
19,1,18,6,1,1,19,8,19,19,12,9,11,4,8,1,12,9,9,20,10,18,6,7,10,7,17,3,5,14,14,14,6,16,0,8,18,19,19,19,17,4,2,19,10,7,13,7,2,14
9,15,17,12,18,15,2,4,10,15,5,18,14,14,15,1,2,10,9,12,3,14,10,9,8,4,13,6,15,16,13,18,18,6,8,0,5,3,16,9,1,15,12,2,4,20,8,16,14,6
18,4,12,18,16,2,2,17,6,11,6,2,20,1,1,14,11,10,9,20,6,14,5,4,14,14,2,17,2,3,1,20,14,15,18,5,0,15,1,1,17,1,2,4,2,6,15,16,6,13
17,13,16,2,4,8,17,16,10,13,20,1,1,12,8,7,12,17,12,12,1,7,17,12,9,3,6,14,1,7,9,7,20,1,19,3,15,0,14,2,20,1,16,10,8,17,5,14,19,7
3,16,1,14,4,19,20,18,6,14,5,4,12,9,6,8,17,16,16,18,12,19,12,20,8,14,20,1,8,11,8,16,14,20,19,16,1,14,0,5,7,20,6,14,12,7,9,2,20,2
1,19,2,5,14,13,13,2,11,4,9,19,15,11,17,17,16,20,4,18,8,11,5,17,6,17,17,7,17,3,2,1,13,17,19,9,1,2,5,0,7,2,20,13,14,6,7,18,4,17
18,2,14,18,20,17,16,17,7,17,18,8,11,14,7,16,7,14,13,13,14,2,1,6,1,14,18,13,3,3,7,5,11,9,17,1,17,20,7,7,0,14,13,3,16,18,18,19,2,4
13,19,3,16,14,6,17,13,19,10,11,11,20,18,1,17,9,12,5,19,12,16,17,3,6,1,3,4,5,11,15,1,15,15,4,15,1,1,20,2,14,0,12,17,16,20,12,20,20,2
13,8,12,6,18,11,10,13,7,3,17,15,19,1,15,11,13,2,13,7,1,2,2,1,2,8,13,14,12,1,19,9,5,13,2,12,2,16,6,20,13,12,0,19,10,1,4,5,8,19
15,4,5,1,6,9,2,17,12,13,17,8,20,5,11,12,20,13,2,12,19,7,11,1,15,16,2,9,18,1,1,3,14,11,19,2,4,10,14,13,3,17,19,0,1,12,4,11,19,20
20,19,7,8,17,5,10,5,19,10,15,4,16,12,9,6,15,10,15,13,19,7,19,18,15,6,12,16,5,15,20,19,13,1,10,4,2,8,12,14,16,16,10,1,0,14,16,14,17,6
3,17,16,5,5,12,18,19,20,14,18,14,20,7,10,17,10,8,1,8,15,9,5,15,9,19,20,13,14,13,5,6,3,6,7,20,6,17,7,6,18,20,1,12,14,0,1,4,15,5
14,12,4,5,13,7,3,5,11,19,14,4,14,6,19,6,12,18,10,17,4,14,3,4,11,14,1,17,12,19,1,18,4,11,13,8,15,5,9,7,18,12,4,4,16,1,0,6,16,16
1,1,19,6,17,20,3,15,19,6,18,19,2,11,12,13,5,1,13,20,7,20,19,5,8,6,10,16,4,17,12,10,4,12,7,16,16,14,2,18,19,20,5,11,14,4,6,0,6,4
18,15,15,14,7,11,9,18,19,16,5,7,11,18,4,5,19,16,2,12,4,10,11,18,2,2,6,15,15,20,14,5,4,5,2,14,6,19,20,4,2,20,8,19,17,15,16,6,0,10
4,8,1,7,2,14,11,3,6,19,9,13,11,10,20,18,3,4,6,3,3,15,20,9,5,14,11,17,14,8,10,18,17,10,14,6,13,7,2,17,4,2,19,20,6,5,16,4,10,0
